
epoch: 15 | MSE:0.018369167763739824| abs:0.21546810865402222

epoch: 16 | MSE:0.012280802242457867| abs:0.225461944937706

epoch: 17 | MSE:0.010045378329232335| abs:0.22717207670211792

epoch: 18 | MSE:0.008534286636859179| abs:0.23257678747177124

epoch: 19 | MSE:0.0075983223505318165| abs:0.2270652800798416

epoch: 20 | MSE:0.007117396779358387| abs:0.22770985960960388

epoch: 21 | MSE:0.006725633470341563| abs:0.2312891185283661

epoch: 22 | MSE:0.006333053065463901| abs:0.22755956649780273

epoch: 23 | MSE:0.005903095914982259| abs:0.23261220753192902

epoch: 24 | MSE:0.00579648963175714| abs:0.23109741508960724

epoch: 25 | MSE:0.005236847535707056| abs:0.22827352583408356

epoch: 26 | MSE:0.005187119101174175| abs:0.22866788506507874

epoch: 27 | MSE:0.004983753385022283| abs:0.22825917601585388

epoch: 28 | MSE:0.004773046425543726| abs:0.2351495772600174

epoch: 29 | MSE:0.00475224838592112| abs:0.2270667999982834
